id;company;location;dates;job;position;summary;pros;cons;advice-to-mgmt;overall-ratings;work-balance-stars;culture-values-stars;carrer-opportunities-stars;comp-benefit-stars;senior-mangemnet-stars;helpful-count
36382;netflix;Hillsboro, OR; Sep 14, 2011;Former  ;Anonymous Employee;It's a lot like if ;Lots of pay, benefits, freedom, opportunities to find out what you're really made of, lots of top-notch talent.;You *will* get fired. It's just a question of when. There will be no warning, and you will be gone.;Advice to management? Take a long hard look in the mirror.;1;3;;4;5;4;11
36383;netflix;Los Gatos, CA; Sep 26, 2011;Current  ;Senior Software Engineer;Come join us!;Lots of new technologies to learn, upper management is very capable and highly effective;Fast paced, and a lot of work has to be done to become the best streaming company;;5;4;;4,5;4,5;5;1
36384;netflix;Hillsboro, OR; Aug 20, 2011;Former  ;Supervisor;Great place...if you want to kill your career!;Free monthly subscription. Good money but daily multiple firings are reminders of why Unions exist.;Upper management is not not consistent. For every one good Manager....you have 3 horrible ones. Not very good odds. :(;Fix your issues...don't just fire everyone that does not fit to your company mold. You would be amazed at how many different ways there are to accomplish a task.;1;1;;1;3,5;1;10
36385;netflix;Hillsboro, OR; Jul 14, 2011;Former  ;Training Supervisor;It was absolutely awesome, until I was let go.;Great Pay. Excellent Benefits. Smart, hardworking teammates. Opportunities to excel, be creative, be strategic. Managers are all excellent at managing their people, especially if you are a top performer they are hands off and supportive.;"To be honest, I loved pretty much every day up until I was let go based off a rumor. The biggest problem is that in order to be successful at in the call center you have to ""drink the Kool Aid."" Which in all honesty I was happy to do, I got to work with some really rad people, and do really great work that I'm proud of. However, karma is, well you know karma is, and I let go of a lot of people that probably felt like it wasn't fair, and eventually the same thing happened to me. Loyalty to employees is not one of their strong suits.";Honestly have the greatest respect for the management in terms of their abilities to do their jobs. I do however wonder in retrospect if the running of something as a team instead of a family is always the best way to do something. But then, perhaps it is.;4;3;;5;5;4;5
36386;netflix;Redwood City, CA; Aug 17, 2011;Former  ;Director of Marketing;One of the best run companies, great benefits, no sick leave or vacation policy & exceptional pay;A go-go place that is well-run and exciting. Until the recent blowback on pricing, it was (and still is) a great place that everyone recognizes. Engaging, valuable projects were constantly being pursued. Really loved the Marketing team and the relationship with the other departments!;Not for the faint of heart. If you seek a place to hide, you won't last long here. Other than that, it is hard to not have loved working for a company that has great products and management.;Love your vacation and sick leave policy, no limits based on the work you achieve. I am not certain if they can keep it up as they get bigger, but hope you can!;5;5;;5;5;5;3
36387;netflix;Hillsboro, OR; Aug 1, 2011;Current  ;CSR-1;An okay place to work, for a short term job.;-fun work environment (IF you have a good team, and manager) -good location;-high stress -high turnover -no communication between ops and CSR's when new things are launched -constant fear of doing something wrong -there is no way that we can 'relate', 'assure', make the customer feel good, and fix their issue in under 4 minutes a;Better communication about new NRD's or other things being launched.;3;2,5;;1,5;3;3;1
36388;netflix;Los Gatos, CA; Jul 14, 2011;Former  ;Anonymous Employee;Neurotic and unforgiving;Extremely creative engineers and products. Interesting and fun business. Exciting opportunities for access to entertainment. Exceptionally bright senior management. This company can really grow and be very successful.;Everyone is afraid to make a mistake or be perceived as making a mistake. Sr. management is constantly questioning new managers opinions and judgement. If one wants to be successful at Netflix do exactly as your told. Not allowed to have a new idea or different opinion. Netflix management hides behind values that dont exist.;"Netflix is an excellent example of the Delta House fraternity in Animal House. Maybe it is time for new managers, and running the company like a business instead of a fraternity. Being ""in"" is not always the best way to grow a business.";2;3,5;;2;3;1,5;10
36389;netflix;Hillsboro, OR; Jun 22, 2011;Former  ;Customer Service Representative;Hell with free Easy Mac;Free Easy Mac, Tea, Oatmeal & Cup O Noodles Free Netflix Subscription;"The people working here are so ridiculous and the trainer is straight from Sesame Street.  I knew one of the first 6 people to open the center, and she had been laid off over a year prior to when I started. She had some horror stories, but I thought the pay would overshadow any hint of doubt I had.  I made them aware of the fact that I was in school [college, obviously] prior to being invited to the interview, and they said that was fine & they'd work with me (I found out later that this is a complete lie). I went through training and everything with positive feedback. Only after that did it become an issue, and I was constantly pulled aside and berated. I am not going to quit school to slave away at a job that will last less than a year. They pulled me into random rooms around the call center and told me my ""internet browsing privileges were being taken away during my breaks,"" because I looked up Netflix reviews. I was told that my face looked ""sad and depressed."" Well, of course it was after you pulled me into a room 3 times in one day trying to make me feel bad about going to school.  They expect you to talk to 85-year-olds with Alzheimers that can't even remember their email address, let alone their name, and help them fix whatever issue they have in less than 5 minutes.  Why is there free food? Why are there showers here? Why are there laptops for you to use? Because they want you to eat, sleep and breathe Netflix.";People are human. Netflix has no human aspect to it. When I first started, everyone there was worried about their job, although most of them were recently promoted. That's horrible. Start investing in people so you don't waste money on training.  Don't say things that can bring a lawsuit to your door.  Don't hire people in school.  Don't expect newly trained employees to know all of the answers when your trainers don't even know the answers.;1;1;;1;2,5;1;12
36390;netflix;Hillsboro, OR; May 15, 2011;Former  ;Anonymous Employee;This place is absolutely grueling, they eat you up and spit you out.;Salaries are at or above the market rate. Good stock options for salaried employees. The ability to work remotely, from home.;Working around the clock, phone calls during vacation. Very high attrition rates Constant fear of being let go Always switching directions while running full speed ahead.;Quit being elitists. Your company is a revolving door and you continue to lose brilliant people because you don't treat them like human beings.  At the rate in which Netflix hires & fires, I'm amazed that they are sill able to find people to interview!;2;2,5;;4;3,5;3;13
36391;netflix;Hillsboro, OR; May 19, 2011;Former  ;Customer Service Representative;It paid decent, but the level of efficiency stripped all the human aspects away.;The pay you well, they have a great health care plan, and they will give you full time status and paid training.;Zero time to be human, the constant computer monitoring puts you on edge since you have only 5 minutes to explain to an 80yr old how to install firefox in order to watch a video on their mac computer. This job tells you to be super human and empathetic, yet their employees want to shoot themselves since the place is run like a prison camp. Trying to go to the bathroom will result in your averages going down on the computer monitoring system and if your average falls below 5 minutes per call per shift you are FIRED, ZERO TOLERANCE!;"You fold at management do realize that your training continuously year round results in a $14,000 dollar expense a week, with only a 35% stay rate after 6 months. This program you have costs you a fortune annually and is HIGHLY INEFFICIENT, something you profess to be striving for.  Do yourselves a favor, humanize the job, give people an incentive besides the 14 dollar an hour pay for zero life and boot camp like tactics. You pay so much for people just to sit through a training session that you could have given current employees a real reason to feel appreciated besides the cheap Netflix swag you peddle.  Seriously, make the environment a more ""happy place"" and save serious money and improve employee moral significantly.  I like the way Mr. Hastings runs things, but he is never actually seen at the Hislboro facility and he is wasting A LOT of money annually with his ridiculous and wasteful training and selection staff.. Seriously, they are ripping you and the potential employees off big time! Also, they like to hand their friends the codes that you give out to the employees to their friends resulting in a month of free 8 movie rentals. You are being robbed sir!";1;1;;3,5;4;1;6
36392;netflix;Los Gatos, CA; May 5, 2011;Former  ;Senior Software Engineer;My advice - accept job here, get kicked out after half year;Higher than industry average salary.;Read other reviews of former employees. Out of all people that I worked with at the time more than 80% were kicked out. Most of them are bright engineers.  My advice - if you are offered a position in Netflix fight for the highest salary possible. In any case expect to be fired soon. Maybe after a year, maybe sooner, maybe later.;You don't need to worry. Everything is well. Your stock grows like crazy until you are out of talent and noone wants to work for you anymore.;1;1,5;;1,5;4;3;22
36393;netflix;Los Gatos, CA; Jan 22, 2011;Current  ;Engineering Manager;If Netflix was a TV show: Action Series with a Hint of Survivor;"* ""Freedom and Responsibility Culture"" = Lots of individual control (Read Reed's slide deck) * If you're part of a well-run team, you'll love it - Excellent compensation - Unique stock option program with personal choice for $$$ allocated - Fast-paced environment with lots of challenges - It's the largest streaming movie service in the world and it's just getting better - Extremely open with corporate information sharing (no internal culture of secrecy like Apple) - Incredible execution over the last couple years - the methods can be controversial, but you can't argue with the quarterly/annual results";"* ""High Performance Culture"" = You can hang yourself easily and get canned (Read Reed's slide deck) * If you join a mis-managed group, you'll be posting a negative review on here soon. :-) - Average benefits programs - Inexperienced managers can mis-apply the ""high performance culture"" philosophy and lead to the ""culture of fear"" some people have complained about in certain organizations - Double-standard for performance: VP/C-level staff appear immune from ""high performance culture"". Reed rocks, but some of the others are average/good, not exceptional.";"In almost two years at Netflix: Some people LOVE working at Netflix, some cautiously tolerate it. Too much of this is dependent on whether they're working for a competent manger that is assumed to properly apply the ""high performance culture"" philosophy.  The desire to streamline HR by getting rid of almost all policies and procedures means no ""professional development"" for your management teams. There needs to be a level of education for new managers (hired and promoted. Don't assume everyone ""get's it"" in order to make sure the ""high performance culture"" is properly applied. Done right, people will know what's expected of them, get regular feedback from their managers, and KNOW if they're on the short list for being let go as business needs change. They can react to this and either adapt or anticipate why they're getting a severance package. For most employees, Netflix is a short-term roller-coaster ride with options to ride again for those who enjoy it. When someone exits the ride, you want them leaving with a smile and the civil handshake, not a brick to the head and a just a check to cushion the pain.  I've been lucky to work for a manger who's awesome, and I've been having a great time. It's painful to see the flip side where co-workers are not always enjoying the same perspective when the company is doing so well as a whole.";5;5;;3,5;4,5;4;26
36394;netflix;Hillsboro, OR; Mar 22, 2011;Former  ;Customer Service Representative;Work was going well, but I was fired for being sick;Free Netflix subscription, good compensation for what you are doing, just sitting and talking really. They also allow you to use your own judgement when compensating customers for problems.;I was ahead of the curve for a new hire, things were going well. I got sick a couple of times and then a week after my last absence, they fired me at the start of my work week. I just wish they would have said something like, you can't miss one more day or we will have to let you go, something along those lines.;If you have written-in-stone guidelines such as an attendance policy, those guidelines should be something shared with the people that they are being enforced on. Because how are you supposed to obey a law, if you honestly don't know it exists,;3;1;;4;4,5;2,5;10
36395;netflix;Los Gatos, CA; Apr 2, 2011;Current  ;Engineering Manager;The Right Place If You Are The Right Fit;"So far I am incredibly impressed with Netflix. This is by far the highest concentration of smart people I have ever seen at one company and I have worked in Silicon Valley for over 20 years at large and small companies. In addition, not only are they smart but also very helpful and ego free. I read the culture slide deck before I started but wondered if they actually ""walked the walk"". I've found the answer to that question to be ""absolutely"".  If you are not a really smart, driven person who can operate completely independently and with little direction from management, then you will not be happy or successful at Netflix. There is no hand holding, and expectations are high. But if you are the kind of person that craves lots of freedom and responsibility than you will love it.  In the period of time I've been here, I have personally seen several people get promoted from engineers to managers and from managers to directors. There is a lot of career growth as the company is growing like gangbusters right now and if you are great you will love it and thrive.";If you are looking for safety and worried that you won't get another job somewhere else, Netflix is not the place for you. Basically, Netflix operates like a Startup company. There is no hand holding, you have to make lots of important decisions on your own, you have to be proactive about seeking out help and information, and the culture is fast paced and filled with lots of people who would be the smartest guys in the room at other companies. At Netflix the whole room is filled with those guys. If that intimidates you or scares you, thats a sign its not a good fit for you. If that lights you up and excites you, then you will love working at Netflix.;Its going to be a challenge to preserve the unique culture as the company grows. Please keep focusing on freedom and responsibility and make sure new managers totally get that aspect of the culture. That is what attracted me to Netflix and I want to see it continue as we grow.;5;5;;5;5;5;10
36396;netflix;Los Gatos, CA; Mar 16, 2011;Current  ;Senior Software Engineer;Best run company I have ever been with and I have been with some good orgs.;Amazingly smart people. Business looks easy but is complicated--hard problems to solve which is why I am here. I get to do work that affects our customers, directly...way cool that my role has that much impact.;Not everyone wants the culture to work--and that is disappointing.;Keep the course with the business and the culture.;5;5;;5;5;5;4
36397;netflix;Hillsboro, OR; Mar 17, 2011;Current  ;Customer Service Representative;Times are tough so you probably need the job but start looking for a career ASAP once hired!;hands down pay is great 14.00 plus health care benefits (800 extra a month if you opt out of insurance) puts my pay above 2500 a month!  10 hour shifts (can be a con too) three day weekends are nice but you will need it  Classified as a hostile work environment by the state of Oregon so you get unemployment for virtually anything you may get fired for (even if you deserve to be fired). Make sure you get hired by netflix first before taking advantage of this sweet pro. It does not work if you are still on your trial period with them through a hiring agency.  Great job to go into to find a real career especially as a college graduate in this economy;Customers have no lives so they call up about stupid things and feel they deserve the world for $9.99  Dealing with stupid people all day long is very rough.  Pay is great but think about it, why do they pay so well? If it was a great place to work they would not need to pay well, would they ,-)  constantly acting like you care takes its toll at about 4 months in (like I said start looking for another job on your three day weekend no matter what you think at the start of this job, you will thank me later for that nugget of info ,-)  You will not get time off even though they dont give you paid time off  People are always getting axed around you so dont depend on the job.;Let people take time off! By not your allowing people time off your making them get burnt out.;1;1;;1;4,5;2;7
36398;netflix;Los Gatos, CA; Feb 11, 2011;Former  ;Manager;Don't make the mistake of working here;1. Pay is good, and for some tough to fill roles, pay is very good. 2. The stock option plan is a good deal. 3. A number of policies treat people like adults (dress code, attendance, and vacation/holidays). You can take as much time off as you want, as long as you get your job done. 4. A number of smart people get hired. 5. The industry is growing very fast. 6. Well known brand with instant street recognition. 7. Facilities are pretty good.;1. Look at the comments on this site around turnover, treating people poorly, sick culture, and weak senior leadership. These are all very accurate. 2. No training, management training, or development. The philosophy is if you donÉ??t have what we need, we will replace you (i.e., fire you for not being a É??good fitÉ?ù) with someone from the outside who has that. 3. Hourly jobs in particular have stagnant pay. 4. There are no bonuses or incentives. 5. The culture has serious problems. ∂ˇ∂ˇa. You will see countless references on this site to a É??culture of fearÉ?ù. This is widespread in every department and division. Even executives laugh that their time is numbered. A company that functions on fear is not a place for the long term. When everyone in a room is asked do they fear being fired and everyone says yes, that is a big problem. ∂ˇ∂ˇb. A culture of watching your back and stabbing others in the back. Many employees, including C level people, participate and have learned that tossing others under the bus, keeps them safe. They see this as a way to protect themselves from scrutiny from above. Employees and managers are all too comfortable talking about what is not working with a person. The 360 review process reinforces this. Those who have been there the longest are almost soulless with regard to firings. They have fired or seen so many people let go that they donÉ??t really care anymore. 6. You can be fired without warning, feedback, or any coaching. Most employees donÉ??t bring any personal belongings to work as they could be let go at any moment. It is often a surprise. 7. Do not move for a job with Netflix. If your partner or spouse doesnÉ??t work, you could be risking your families financial health. There is no job security regardless of how good you are. Performance does not equal security at Netflix. 8. Managers have a 1 year shelf life before they get shown the door. Directors and VPs are constantly evaluating managers, so anytime you make a mistake, are perceived not to be cutting edge, it could be your turn. 9. HRÉ??s job is to hire and show people the door. HR brags about how good they are at firing people. They donÉ??t help employees, nor are they there to help employees become better. Their role is simply to ensure the company doesnÉ??t get sued and headhunt for all the people that are turning over. 10. Managers main role is making their team better through constrantly looking for their weaker employees. Leaders are asked could they hire someone better. Of course the answer will always be yes. 11. No severance package is enough to compensate you for disruption in your career, moving, or the stress that comes without having a job. 12. The recruiting function will hire you fast. The idea is to keep you excited, but if you are reading this donÉ??t get caught up in the Netflix product of moviesÉ??look at whether this is actually a place you want to work. 13. ItÉ??s incredibly stressful and life-shortening for you and your loved ones. Why work at a place where people, including your hiring managers, treat you as completely disposable?;1. Change out your HR leadership. They are in love with the culture, but they are creating an unhealthy long term environment. Once the economy picks up you will not be able to treat people as poorly as you do. 2. Change the culture of fear. Install real coaching, feedback, and performance reviews so employees can feel comfortable doing their jobs. 3. Do some employee surveys to learn the real thoughts of your front line team. 4. Stop the turnover that is higher than comparable companies. 5. Reed, if you are not a people person, hire some people who are. You will get better performance from people who are not in constant fear of being fired. You can still remove weak performers, but donÉ??t make even your best employees fear for their jobs.;1;3,5;;1;2;1;47
36399;netflix;Los Gatos, CA; Mar 8, 2011;Former  ;Senior Engineer;High performance with high forced attrition;good pay (not compared to the expectations) . its good ROI for netflix not to employee. if ur an expert and u r stuck in ur place then netflix can reward u good. it can allow you to be a mster of everything and allow merit speak than leadership.;it depends on ur manager's discretion. so if ur gaurded to be urself then its the place to work. unrefined office culture is prone to exploitation. counter productive culture and fear is developed and growing faster.;start smacking the time and hear the employees voices to keep the best in the winning side.;3;4;;2,5;3,5;1;3
36400;netflix;Los Gatos, CA; Dec 22, 2010;Former  ;Anonymous Employee;Crippled Culture;;-much talk about Netflix 'culture' internally, but few walk the walk. Politics and immaturity are alive and well here, especially at the senior management level despite popular internal belief -people disappear (are fired) daily, and the excuse is often s;You cannot continue to tell yourself over and over that your culture is innovative, fresh, and uncomplicated, because it is not. Perhaps it is time to be realistic and call it for what it is. Perhaps then you can be self-reflective enough to change for the better.;2;4,5;;3,5;3,5;2;17
36401;netflix;Hillsboro, OR; Jan 11, 2011;Former  ;Anonymous Employee;people are expendable;Innovative company with strong growth and brand recognition, pay and benefits are good, the work is challenging and there are some great people that work there. New hire orientation was a good experience and fun to attend.;"The culture sounds great at the beginning however, in reality there is no empathy or understanding of human error. People are not given the time to learn, make mistakes and grow from the mistake, instead one mistake (even small) will get you shown to the door. There is no training and even high powered professionals need some direction and guidance. There is a lot of fear and uncertainty inherent in the culture and it leads to an ""every man for himself"" culture which does not promote teamwork.";HR 101, your employee's are your greatest asset and constant turnover is not healthy for any business in the long run.;1;2;;1;4,5;1;12
36402;netflix;Los Gatos, CA; Jan 5, 2011;Former  ;Anonymous Employee;Phenom place to work if you are lucky enought to be offerred a position;culture of excellence in all ways;small scale teams means less opportunity for variety than other firms;;5;5;;3;5;5;1
36403;netflix;Hillsboro, OR; Oct 28, 2010;Current  ;Customer Service Representative;Netflix as a service is great, but I don't recommend them as an employer, at least, not at the Hillsboro call center.;Like many of the reviews have already said, Netflix does offer some nice employee benefits, especially the employee stock purchase program (take a look at what Netflix stock has been doing, the last couple of years - you'll wish you'd bought in 2007)  I've met some great people while working there, both peers and supervisors.  For the most part, customer support is incredibly easy, because the service itself works pretty smoothly. When it doesn't, CS reps have the power to make things right for customers, which is fabulous.  Unlimited time off (within reason, and when it's available) is awesome.;"Ultimately, the cons outweigh the pros. I will be voluntarily leaving Netflix for a new job in the very near future.  Netflix treats employees like they're completely expendable. I realize that no one is indispensable to a company, but Netflix uses up employees like I use up tissues when I have a cold. The turnover is ridiculous, and it doesn't have to be that way.  For CS reps, the main statistic used to determine our ""worthiness"" is the DSAT. Customers get asked a simple question after contacting customer service: ""Were you satisfied with the call?"" A ""no"" response counts against the rep, even if it was something the rep couldn't control (I'm sorry, it looks like your bank declined your card for this month's service fee.), or the customer was making an unreasonable demand (I got a disc that won't play! Give me six months of free service or I'm cancelling!). Netflix's stance is that we should be able to sugar-coat bad news so well that the customer doesn't hang up unhappy. This method of measurement is incredibly flawed and has led to reps ""gaming"" the system to avoid ""no"" responses.  Netflix does not give raises. Period. Not for cost of living, not for length of time employed, not even for outstanding performance. I have worked there 3+ years and my stats have been stellar the whole time. So stellar, I'm one of the people they have trainees shadow, to hear how to handle calls properly. I have *never* gotten a raise. Monetarily, Netflix considers my value to be the same as a new hire who just got out of training.  No paid time off. (Unless I want to take a pay cut and bank that toward paid time off.)  Mandatory overtime during the holidays. (They're promising it won't happen again this year, but that's what they said last year ... and we had mandatory overtime for three months last winter. And the winter before.)  Extremely limited career options - unless you want to be a CS supervisor, you're pretty much out of luck at the call center.  Narrow-focus hiring - Netflix hires people with EXACTLY the skills they need for a particular position. If that position goes away, so does the person. There is very little provision for cross-training or retraining a good employee to fit them in somewhere else.  TRaSE - one exception to the cross-training policy has been TRaSE, which is a disaster, so far. TRaSE combined the department that handles streaming tech support escalations with the department that handles loss prevention: billing fraud, shipping issues, physical inventory problems and website content issues. They all received cross-training, and even though there's more people to handle problems now, CS reps can never get a response when they have an urgent loss prevention issue. Reps have to tell customers ""someone will get back to you within 1-3 business days."" What happened to ""one call resolution""? There's a guaranteed ""no"" response for my DSAT. Thanks a lot.  Workforce Management can't seem to forecast how much staff is needed, we will have weeks where they offer to let reps go home early every day, and then a couple of weeks later, they're offering voluntary extra hours and begging people to stay after their shifts. This is probably related to the fact that Marketing doesn't feel like they need to let anyone know about promotions until the last minute.  Speaking of Marketing, they dont seem to feel a need to ask anyone what kind of impact various promotions will have on the rest of Netflix's operations. The ""no credit card necessary for a free trial"" promo was a fiasco, much of which could have been avoided by asking some seasoned reps a few key questions.  The same can be said about some of the ""tests"" that Engineering sets up on the website. Isn't it logical to maybe ask a few questions of the people who actually talk to the customers before you try something out? I realize that we need to find out what works and what doesn't, but if a ""test"" makes the service unusable or unpalatable for a customer and they call to complain, CS reps can't remove them from the ""test"". Netflix is willing to lose the customer because that's a valid ""test result"". There has to be a better way.  The Canadian service was launched prematurely, in my opinion. Many of the calls we get from Canadian customers center on the lack of content, especially newer releases. The Canadian streaming library will grow, just like the US library, but that's not a satisfying answer to Canadian customers. Thanks for another ""no"" response on my DSAT, Marketing department!";The service works so well. Figure out a way to make your human resources department work at least half as well. You are losing good employees at a ridiculous rate, which is going to start affecting customer satisfaction, and ultimately, your bottom line. Dealing with the general public is stressful enough, your outstanding employees shouldn't have to deal with unfair treatment from you, as well.;2;3;;1;3;2;20
36404;netflix;Los Gatos, CA; Nov 5, 2010;Current  ;Senior Software Engineer In Test;Highly Talented Group of Employees;Challenging and yet very collaborative workplace. Shared goal without politics. Lots of moving parts hence a lot of things to learn. Excellent Pay. Free Lunches.;Similar trappings of a growing company but nothing surprising that I have not already seen in one form or another with other companies I worked for in the past.;Embrace some form of process. Process can be useful if applied in the correct way and still enable any group to be flexible and role with schedule.;5;5;;4;5;5;5
36405;netflix;Hillsboro, OR; Nov 3, 2010;Current  ;Anonymous Employee;Stay Away. You do not want to work here.;Nice location New management that has been brought in knows what they are doing Free coffee and Netflix account Benefits are ok Pay is good;Really scary place to work. There is so much fear in the culture in the call center that it is difficult to work there. The new Director is a joke. He has no idea what he is doing and is making decisions that will hurt the call center. There are few people who respect him as a leader and we look to our Managers for guidance. There is no clear direction and even though they talk about coaching their people it is not true. The coaching has no impact and people are fired due to not being supported properly. There are so many other Supervisors looking for jobs because they cannot stand it there. I cannot wait to get a new job. Attrition there is so high. You can see new people brought in and the next few months they are gone. I have never seen a place tat makes so many snap decisions on people which supports the fact that Netflix does not focus on people development.;Have senior management from corporate due focus groups to see how poorly this place Is being run. I have worked in call centers before and if the leadership does not change things then they will have a hard time hiring people.  of my friends will come to work here because they know the reputation. People stay away. It is the worst place to work in Oregon.;2;4,5;;2;4;1;8
36406;netflix;Phoenix, AZ; Nov 22, 2010;Current  ;DVD Sorter (Phoenix);Netflix: A company that doesn't value employees, but only sees them as a means to an end.;Above average pay compared to the industry standard. Casual work attire policy.;Inadequate, poorly-trained management. Very little emphasis on feedback to employees. No paid vacation.;Value your employees. Don't treat them like cattle. If you don't have any sense of loyalty to your employees, they won't hesitate to leave for a better offer elsewhere. Your company has about 25% turnover, easily. Why do you think that is?;1;2;;1;2;1;4
36407;netflix;Hillsboro, OR; Oct 21, 2010;Current  ;Customer Service Representative;Stressful is an understatement;Good pay, good benefits, awesome co workers;This is one of the most stressful work environments I have EVER worked at. Seems like no one has worked there longer than a year. Everything is based on your dissatisfied percentage and its impossible to satisfy everyone. ESPECIALLY when it is a dsat about service not rep. To Netflix, its the same damn thing. My supervisor was horrible and they all just sit together and chat all day. Almost seems like arent doing a damn thing.;If your employees werent so stressed out all the time, maybe you would see better performance.;2;1;;3;4,5;3;5
36408;netflix;Los Gatos, CA; Oct 22, 2010;Former  ;Senior Software Engineer;Must drink the KoolAid;* Hires only senior staff * High salary, benefits * Extreme, Agile * Psudo-unlimited vacation policy * Great experience;* High turnover, No loyalty. * Fear of being perceived as complacent despite monotony. * Monitor your burnout.;Thanks for the workaholic rush. It was worth the ride.;3;3;;2,5;5;4;1
36409;netflix;Los Gatos, CA; Sep 21, 2010;Current  ;Anonymous Employee;company attitude: we pay you well and can kick you out at any moment , you shut up and put up with our rubbish;high salaries fast pace environment;"company mentality: full-time employees are long term contractors experienced managers turn down Netflix opportunities due to a known short average ""life span"" of mid and low-level managers at the company (for example, IT and OPS managers usually last about 1 year) an employee can be laid off just because their project is over or he does not have skills for a new project";get a new blood not only in a low/mid level but upper management as well;3;4;;3;4,5;2;9
36410;netflix;Los Gatos, CA; Sep 6, 2010;Current  ;Manager;Management is asleep at the wheel;Free lunch, good salary, nice commute;Poor performance of colleagues, very poor management, very poor planning;80% of your employees hurt you, the other 20% are mistreated. Fix this.;1;1;;1;2;1;1
36411;netflix;Los Gatos, CA; Aug 5, 2010;Former  ;Anonymous Employee;Good Management Team and Bright Employees;Great product Good co-workers Transition from DVD to Digital is very interesting;Began to feel like a revolving door after working there for a couple years. Turnover is very, very high.;It is hard to argue with Netflix's success as a company.;3;3,5;;2;4;3;2
36412;netflix;Hillsboro, OR; Jul 26, 2010;Current  ;Customer Service Representative;Best Call Center to work for by far...;;- agree with previous posts about how easy people are let go - Performance/Mobility determined or based on numbers, not performance;Your head is in the right place using numerical values to gather data about performance, but one must consider the need to evaluate other aspects of employee's performance besides those which can be measured numerically. The most successful professionals have such qualities, and it's a shame to witness great employees let go from such a great company.;3;2,5;;2;4;3,5;5
36413;netflix;Los Gatos, CA; Jul 19, 2010;Former  ;IT Manager;They suck you in and then kick you out;"enticing benefits & perks unrestrained ""personal time"" nice location & amenities";poor sightless management based on guilt innovation at the compromise of quality high turnover, low stability lack of collegial respect, high fear;think long term about your contribution to society and less about the psychological game of stock prices - connecting people with the movies they love should not come at the expense of ostracizing employees you don't love;3;3;;3;5;1;8
36414;netflix;Hillsboro, OR; Jul 9, 2010;Current  ;Customer Service Representative;;OUTRAGEOUS pay!!! [14 bucks an hour] No experience needed! Ever worked at safeway, or mcdonalds? [no need beyond that] Free food! [ramen, easy mac, oatmeal, pete's coffee and tons of tea!] Feedback is excellent! Medical and Dental kicks ASS! 8 DVD's out a time plan for FREE!!! Did I mention FREE food, FREE movies, FREE coffee and the highest pay possible for not having a degree!;Easy to get let go. If your attitude is not peepy, happy and excited, you can definately be let go. Make friends... FAST! If your blending in with your other co-workers and not syncing up and having fun.. then your GONE!;"Don't kick people out just because they don't skateboard or are not ""awesome"" enough people that you might not like, focus on how well people can work!";4;3;;3;5;3;4
36415;netflix;Los Gatos, CA; Jun 15, 2010;Former  ;Great Service But Not Great A Place for A Career;Three works can summarize the culture at Netflix. : Culture of Fear.;Netflix base salaries are high. Engineers are all very senior. The buildings are beautiful and having onsite expresso machines is wonderful. The location near Los Gatos is great. Everyone outside of Netflix understands and loves the service which is a pretty big perk.;Netflix is the first place I've worked where you can get fired for doing too good of a job. Managers are always changing usually as a result of being shown the door. The constant turnover leads to another problem in that there is not much domain expertise in the systems built in Netflix because of the high turnover.  There is no career growth in Netflix. What you are hired for is more than likely what you will be doing for your stay at the company which on average is only a couple of years. There are cases where engineers / managers morph into something different but it was very rare.  Box lunches are provided but they are terrible. That food is not meant for human consumption. A variety of vendors would be nice.  The unlimited vacation policy is touted as a key benefit but watch out. Constantly changing priorities and short deadlines along with no job overlap means you are going to be able to take that nice vacation to take.  The compensation is skewed in that there are no bonuses or stock grants for the rank and file employees. Insurance for anything beyond the employee ( significant other / family ) will be passed along to the employee. In many cases I've heard this can pretty expensive.  I will say that I did have some good times at Netflix. If you are considering it as a company do your homework, ask the right questions, and make sure you weigh the pros and cons of the environment.;Fix the culture. While there has been a steady stream of engineers and managers to choose from times have gotten better and there are other choices. Netflix could be so much more if you valued your employees, focused less on the short term distractions, and invest more on making employees love the work environment in the same way everyone loves the Netflix service.;2;1,5;;1;3;1,5;23
36416;netflix;Los Gatos, CA; Jul 27, 2010;Current  ;Director;Great place to work;Extremely open and honest culture to work in. Management takes pride in culture and therefore is very candid about both the strategy of the company, and the challenges ahead of us.  Very flat organization.;"No clear career path or career development provided. ""High performance"" culture means that we aim to hire very talented people (which is great), but we dont hestitate to let some one go if its not going to be a good fit over the long-run.";Continue being open and candid about our strategic direction, it's extremely helpful in providing both context and unity of purpose.;5;4;;4;4,5;4;3
